shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10010,PASS,0,131072,1.1808,1.2632,0.935
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10011,PASS,0,131072,1.2407,1.2699,0.977
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10100,PASS,0,131072,1.2427,2.5828,0.481
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10101,PASS,0,131072,1.1711,1.1458,1.022
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10110,PASS,0,131072,1.2643,2.6594,0.475
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10111,PASS,0,131072,1.2447,1.2834,0.970
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11000,PASS,0,131072,1.2818,0.9919,1.292
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11001,PASS,0,131072,1.2512,0.9935,1.259
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11010,PASS,0,131072,1.2444,1.0138,1.227
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11011,PASS,0,131072,1.2607,1.0150,1.242
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11100,PASS,0,131072,1.2643,2.3036,0.549
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11101,PASS,0,131072,1.2381,0.9932,1.247
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11110,PASS,0,131072,1.2451,2.3468,0.531
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",11111,PASS,0,131072,1.2719,1.0148,1.253
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00000,PASS,0,262144,1.3098,1.3096,1.000
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00001,PASS,0,262144,1.3087,1.3424,0.975
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00010,PASS,0,262144,1.3089,1.3630,0.960
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00011,PASS,0,262144,1.3094,1.3628,0.961
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00100,PASS,0,262144,1.3078,2.7449,0.476
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00101,PASS,0,262144,1.3086,2.7662,0.473
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00110,PASS,0,262144,1.3155,2.8999,0.454
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",00111,PASS,0,262144,1.3104,2.8799,0.455
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01000,PASS,0,262144,1.3115,1.3186,0.995
batch×sequence,B2 S128,"B=2,S=128,D=512,H=8,FFN=2048,L=6",01001,PASS,0,262144,1.3109,1.3178,0.995
